CREDIT	DEBIT	CHTRANSFERID	CREATEDDATE
2.12	0.05	1478779533	30-Dec-25
0.3	0	1478779535	30-Dec-25
10	0	1478779537	30-Dec-25
0	3.5	1478779538	30-Dec-25
0.5	0	1478779540	30-Dec-25
0	1.5	1478779541	30-Dec-25
10.12	0.05	1478779542	30-Dec-25
0	8	1478779543	30-Dec-25
0	400	1478779545	30-Dec-25
0	1	1478779551	30-Dec-25
0.02	100.25	1478779552	30-Dec-25
1	0	1478779553	30-Dec-25
0.02	4.05	1478779561	30-Dec-25
0	0.3	1478779563	30-Dec-25
0	50	1478779564	30-Dec-25
0	5	1478779565	30-Dec-25
0	3	1478779567	30-Dec-25
0	2.8	1478779570	30-Dec-25
0	4	1478779571	30-Dec-25
0.1	0	1478779573	30-Dec-25
0	0.7	1478779574	30-Dec-25
0.7	0	1478779578	30-Dec-25
0	1	1478779579	30-Dec-25
4.9	0	1478779582	30-Dec-25
0	0.5	1478779584	30-Dec-25
0	3.5	1478779586	30-Dec-25
0.5	0	1478779587	30-Dec-25
0	2.1	1478779588	30-Dec-25
0	9	1478779589	30-Dec-25
0	0.3	1478779593	30-Dec-25
0	6	1478779594	30-Dec-25
0	0.25	1478779596	30-Dec-25
7.12	0.05	1478779597	30-Dec-25
0	0.2	1478779599	30-Dec-25
0.25	0	1478779601	30-Dec-25
0.3	0	1478779603	30-Dec-25
0	35	1478779606	30-Dec-25
0	5.1	1478779607	30-Dec-25
0	12	1478779610	30-Dec-25
0	0.5	1478779612	30-Dec-25
0.2	0	1478779614	30-Dec-25
0	150	1478779616	30-Dec-25
0	0.1	1478779617	30-Dec-25
0	0.5	1478779620	30-Dec-25
10.12	0.05	1478779622	30-Dec-25
0	108	1478779623	30-Dec-25
0	0.2	1478779624	30-Dec-25
0	10.108	1478779626	30-Dec-25
0.4	0	1478779628	30-Dec-25
0	800	1478779631	30-Dec-25
0	100.18	1478779632	30-Dec-25
0	100.36	1478779635	30-Dec-25
1	0	1478779638	30-Dec-25
0	1	1478779639	30-Dec-25
100	0	1478779640	30-Dec-25
200	0	1478779641	30-Dec-25
0	2	1478779642	30-Dec-25
0.02	15.125	1478779645	30-Dec-25
0	16	1478779647	30-Dec-25
0.25	0	1478779649	30-Dec-25
0.1	0	1478779651	30-Dec-25
0	0.3	1478779652	30-Dec-25
0.5	0	1478779653	30-Dec-25
2.12	0.05	1478779654	30-Dec-25
0	4	1478779656	30-Dec-25
1	0	1478779659	30-Dec-25
0	1.4	1478779660	30-Dec-25
0.02	14.125	1478779662	30-Dec-25
0	0.5	1478779663	30-Dec-25
0	1	1478779666	30-Dec-25
10.645	0.0625	1478779667	30-Dec-25
0	0.1	1478779669	30-Dec-25
0	1.15	1478779671	30-Dec-25
0.02	22.055	1478779672	30-Dec-25
0.02	100.4505	1478779673	30-Dec-25
0.25	0	1478779674	30-Dec-25
0	0.3	1478779676	30-Dec-25
10	0	1478779677	30-Dec-25
0.15	0	1478779678	30-Dec-25
0	2.2	1478779682	30-Dec-25
5	0	1478779684	30-Dec-25
3.12	0.05	1478779685	30-Dec-25
5	0	1478779686	30-Dec-25
0.5	0	1478779688	30-Dec-25
5	0	1478779689	30-Dec-25
0	1	1478779694	30-Dec-25
63.27	0.125	1478779697	30-Dec-25
2.3	0	1478779699	30-Dec-25
0	0.3	1478779700	30-Dec-25
0.27	0	1478779706	30-Dec-25
9.12	0.05	1478779707	30-Dec-25
0.02	10.1	1478779713	30-Dec-25
0.5	0	1478779714	30-Dec-25
0	0.2	1478779715	30-Dec-25
0	5	1478779716	30-Dec-25
6	0	1478779717	30-Dec-25
0	10	1478779718	30-Dec-25
0.5	0	1478779722	30-Dec-25
2.5	0	1478779724	30-Dec-25
0.5	0	1478779725	30-Dec-25
0	0.05	1478779727	30-Dec-25
0	1	1478779728	30-Dec-25
0	22	1478779729	30-Dec-25
0.89	0.025	1478779734	30-Dec-25
0	10	1478779738	30-Dec-25
0	180	1478779740	30-Dec-25
0	30	1478779743	30-Dec-25
10	0	1478779744	30-Dec-25
0.12	0	1478779745	30-Dec-25
0	0.9	1478779746	30-Dec-25
0.12	0	1478779752	30-Dec-25
0.1	0	1478779755	30-Dec-25
1	0	1478779756	30-Dec-25
0	5	1478779759	30-Dec-25
0.5	0	1478779761	30-Dec-25
0	1	1478779764	30-Dec-25
3.8	0	1478779765	30-Dec-25
0	2	1478779766	30-Dec-25
5.12	0.05	1478779767	30-Dec-25
0	0.5	1478779768	30-Dec-25
0	10	1478779769	30-Dec-25
0	0.5	1478779770	30-Dec-25
5	0	1478779772	30-Dec-25
0.5	0	1478779774	30-Dec-25
0	0.2	1478779775	30-Dec-25
0.02	12.03	1478779776	30-Dec-25
3	0	1478779777	30-Dec-25
0.5	0	1478779780	30-Dec-25
0	6	1478779782	30-Dec-25
0	2	1478779783	30-Dec-25
0	1.5	1478779784	30-Dec-25
0	2	1478779785	30-Dec-25
0	1	1478779786	30-Dec-25
0	0.5	1478779788	30-Dec-25
0.12	0	1478779791	30-Dec-25
0.02	1.05	1478779795	30-Dec-25
0	1	1478779797	30-Dec-25
1	0	1478779798	30-Dec-25
0	1	1478779800	30-Dec-25
0.02	402	1478779801	30-Dec-25
0	0.7	1478779802	30-Dec-25
0.42	0.025	1478779803	30-Dec-25
3.12	0.05	1478779805	30-Dec-25
0	0.25	1478779808	30-Dec-25
0	1.8	1478779809	30-Dec-25
10	0	1478779810	30-Dec-25
0	3.5	1478779811	30-Dec-25
250	0	1478779813	30-Dec-25
4.62	0.05	1478779814	30-Dec-25
0	0.5	1478779815	30-Dec-25
0	0.4	1478779817	30-Dec-25
0	6	1478779818	30-Dec-25
0	0.5	1478779819	30-Dec-25
0	50.27	1478779820	30-Dec-25
0	0.3	1478779823	30-Dec-25
0	8	1478779826	30-Dec-25
0	0.4	1478779828	30-Dec-25
0	3	1478779829	30-Dec-25
0	3	1478779831	30-Dec-25
0	0.25	1478779833	30-Dec-25
3	0	1478779835	30-Dec-25
50.22	0.1	1478779841	30-Dec-25
0	0.8	1478779842	30-Dec-25
0	2	1478779845	30-Dec-25
0	3	1478779846	30-Dec-25
0	10	1478779849	30-Dec-25
0	3.3	1478779854	30-Dec-25
0	5	1478779855	30-Dec-25
0.25	0	1478779858	30-Dec-25
7.12	0.05	1478779860	30-Dec-25
2	0	1478779861	30-Dec-25
0	230	1478779866	30-Dec-25
0	0.3	1478779867	30-Dec-25
0	0.7	1478779868	30-Dec-25
0.5	0	1478779870	30-Dec-25
0.6	0	1478779871	30-Dec-25
0.5	0	1478779873	30-Dec-25
0	4.94	1478779876	30-Dec-25
0	1	1478779878	30-Dec-25
0	55	1478779881	30-Dec-25
0	1.2	1478779882	30-Dec-25
0.02	30.15	1478779883	30-Dec-25
20	0	1478779888	30-Dec-25
0	2	1478779889	30-Dec-25
0	0.12	1478779891	30-Dec-25
0.25	0	1478779892	30-Dec-25
0	1	1478779893	30-Dec-25
0.02	50.2	1478779894	30-Dec-25
0	0.3	1478779896	30-Dec-25
18.145	0.0625	1478779898	30-Dec-25
0	100	1478779900	30-Dec-25
1.02	0.025	1478779904	30-Dec-25
0	0.1	1478779906	30-Dec-25
1.3	0	1478779907	30-Dec-25
0	8	1478779912	30-Dec-25
3	0	1478779913	30-Dec-25
0	0.3	1478779914	30-Dec-25
4	0	1478779915	30-Dec-25
1.07	0.025	1478779917	30-Dec-25
1	0	1478779919	30-Dec-25
50.22	0.1	1478779923	30-Dec-25
24	0	1478779927	30-Dec-25
15	0	1478779930	30-Dec-25
0	2	1478779931	30-Dec-25
0	0.5	1478779932	30-Dec-25
0	0.1	1478779934	30-Dec-25
0	0.6	1478779936	30-Dec-25
0	0.3	1478779937	30-Dec-25
2	0	1478779939	30-Dec-25
0	0.6	1478779941	30-Dec-25
0.25	0	1478779942	30-Dec-25
150	0	1478779944	30-Dec-25
10.12	0.05	1478779945	30-Dec-25
0.02	751.875	1478779946	30-Dec-25
0.6	0	1478779947	30-Dec-25
50	0	1478779948	30-Dec-25
0.02	0.55	1478779949	30-Dec-25
1.07	0.025	1478779950	30-Dec-25
0	7.5	1478779951	30-Dec-25
0	0.3	1478779952	30-Dec-25
0	0.1	1478779955	30-Dec-25
0	0.2	1478779957	30-Dec-25
5	0	1478779958	30-Dec-25
40	0	1478779959	30-Dec-25
0.6	0	1478779960	30-Dec-25
0.5	0	1478779961	30-Dec-25
0	0.15	1478779963	30-Dec-25
0	3	1478779964	30-Dec-25
0	1	1478779966	30-Dec-25
0	50	1478779967	30-Dec-25
10	0	1478779973	30-Dec-25
1.2	0	1478779974	30-Dec-25
10.945	0.0625	1478779979	30-Dec-25
0	0.9	1478779981	30-Dec-25
1	0	1478779983	30-Dec-25
0.6	0	1478779988	30-Dec-25
5.02	0.05	1478779989	30-Dec-25
0	0.5	1478779991	30-Dec-25
20	0	1478779995	30-Dec-25
0	1	1478779997	30-Dec-25
0	0.4	1478779998	30-Dec-25
7	0	1478779999	30-Dec-25
0	2	1478780003	30-Dec-25
40	0	1478780004	30-Dec-25
0	0.5	1478780006	30-Dec-25
0	0.3	1478780011	30-Dec-25
20	0	1478780012	30-Dec-25
1	0	1478780013	30-Dec-25
30	0	1478780015	30-Dec-25
7.5	0	1478780016	30-Dec-25
0	0.12	1478780017	30-Dec-25
0	0.3	1478780020	30-Dec-25
1.5	0	1478780025	30-Dec-25
1	0	1478780026	30-Dec-25
0.25	0	1478780027	30-Dec-25
10	0	1478780035	30-Dec-25
14	0	1478780036	30-Dec-25
0	0.1	1478780037	30-Dec-25
0	0.7	1478780038	30-Dec-25
150	0	1478780039	30-Dec-25
0	50.54	1478780041	30-Dec-25
0	125.3392	1478780045	30-Dec-25
151.5	0.75	1478780046	30-Dec-25
0	232.484	1478780047	30-Dec-25
0	10	1478780048	30-Dec-25
0	0.12	1478780051	30-Dec-25
0	54.5	1478780053	30-Dec-25
0	1.5	1478780055	30-Dec-25
0	2	1478780062	30-Dec-25
0.32	0.025	1478780063	30-Dec-25
0.02	90.25	1478780064	30-Dec-25
0.5	0	1478780065	30-Dec-25
0	0.3	1478780067	30-Dec-25
0	0.3	1478780069	30-Dec-25
0	1	1478780070	30-Dec-25
0	3	1478780074	30-Dec-25
1	0	1478780084	30-Dec-25
10.12	0.05	1478780087	30-Dec-25
0.37	0.025	1478780090	30-Dec-25
0.8	0	1478780092	30-Dec-25
0	2	1478780093	30-Dec-25
0	0.8	1478780094	30-Dec-25
8.12	0.05	1478780101	30-Dec-25
3	0	1478780103	30-Dec-25
0	250	1478780105	30-Dec-25
20	0	1478780106	30-Dec-25
0.32	0.025	1478780107	30-Dec-25
0	24.85	1478780110	30-Dec-25
10.02	0.05	1478780111	30-Dec-25
0	20	1478780112	30-Dec-25
6	0	1478780114	30-Dec-25
0	2	1478780116	30-Dec-25
0	0.3	1478780117	30-Dec-25
2.6	0	1478780119	30-Dec-25
0	2	1478780129	30-Dec-25
2.55	0	1478780130	30-Dec-25
0	9	1478780131	30-Dec-25
0.02	100.25	1478780134	30-Dec-25
3.5	0	1478780135	30-Dec-25
0	351.26	1478780137	30-Dec-25
0.6	0	1478780138	30-Dec-25
1.82	0.05	1478780139	30-Dec-25
0	6.45	1478780141	30-Dec-25
0	0.1	1478780142	30-Dec-25
0	10	1478780143	30-Dec-25
1.3	0	1478780145	30-Dec-25
6.32	0.05	1478780149	30-Dec-25
10.8	0	1478780150	30-Dec-25
0	50	1478780151	30-Dec-25
0	16	1478780152	30-Dec-25
50	0	1478780154	30-Dec-25
20.145	0.0625	1478780155	30-Dec-25
0	0.3	1478780157	30-Dec-25
134.288	0.134	1478780159	30-Dec-25
0	2	1478780160	30-Dec-25
0.02	55.1375	1478780161	30-Dec-25
0	0.2	1478780162	30-Dec-25
8	0	1478780165	30-Dec-25
0	28.6	1478780169	30-Dec-25
0.2	0	1478780173	30-Dec-25
5015.02	7.5	1478780175	30-Dec-25
0	201.8	1478780176	30-Dec-25
4	0	1478780179	30-Dec-25
1.4	0	1478780185	30-Dec-25
0	0.7	1478780189	30-Dec-25
50	0	1478780191	30-Dec-25
0	1	1478780193	30-Dec-25
0	67	1478780194	30-Dec-25
0	6.7	1478780195	30-Dec-25
0	1	1478780197	30-Dec-25
0	4.3	1478780199	30-Dec-25
0	0.2	1478780201	30-Dec-25
0	2	1478780205	30-Dec-25
0	0.4	1478780207	30-Dec-25
0	0.12	1478780209	30-Dec-25
0	0.3	1478780212	30-Dec-25
60.27	0.125	1478780213	30-Dec-25
0	8	1478780214	30-Dec-25
0.02	101.2525	1478780215	30-Dec-25
0	13	1478780217	30-Dec-25
0	3	1478780219	30-Dec-25
0	2	1478780222	30-Dec-25
0.7	0	1478780224	30-Dec-25
1	0	1478780225	30-Dec-25
0.02	1.05	1478780226	30-Dec-25
0	10	1478780228	30-Dec-25
13.145	0.0625	1478780230	30-Dec-25
0	0.5	1478780232	30-Dec-25
0.02	10.1	1478780234	30-Dec-25
0.02	295.7375	1478780236	30-Dec-25
0	2	1478780237	30-Dec-25
1.5	0	1478780239	30-Dec-25
0	10	1478780240	30-Dec-25
0	0.04	1478780241	30-Dec-25
0	0.3	1478780247	30-Dec-25
5.5	0	1478780251	30-Dec-25
5.12	0.05	1478780253	30-Dec-25
0.9	0	1478780256	30-Dec-25
1.5	0	1478780257	30-Dec-25
0.02	1.05	1478780260	30-Dec-25
147	0	1478780262	30-Dec-25
0	1	1478780265	30-Dec-25
1	0	1478780267	30-Dec-25
0	37.2632	1478780268	30-Dec-25
0	22	1478780269	30-Dec-25
11	0	1478780270	30-Dec-25
0	0.6	1478780272	30-Dec-25
0.2	0	1478780274	30-Dec-25
50	0	1478780275	30-Dec-25
0	1	1478780276	30-Dec-25
0	197.8	1478780277	30-Dec-25
0	0.3	1478780280	30-Dec-25
0	1	1478780281	30-Dec-25
0	0.5	1478780288	30-Dec-25
0.67	0.025	1478780289	30-Dec-25
0	0.3	1478780295	30-Dec-25
0	2	1478780296	30-Dec-25
0	0.3	1478780297	30-Dec-25
2.3	0	1478780305	30-Dec-25
0	30.108	1478780307	30-Dec-25
0	0.5	1478780309	30-Dec-25
1	0	1478780312	30-Dec-25
0	2.47	1478780314	30-Dec-25
0	451.62	1478780315	30-Dec-25
0.77	0.025	1478780316	30-Dec-25
8.25	0	1478780318	30-Dec-25
0.02	2.6	1478780324	30-Dec-25
0.5	0	1478780330	30-Dec-25
0	0.5	1478780331	30-Dec-25
0	0.1	1478780332	30-Dec-25
0.5	0	1478780334	30-Dec-25
0	0.4	1478780337	30-Dec-25
3	0	1478780338	30-Dec-25
0	0.5	1478780339	30-Dec-25
3	0	1478780344	30-Dec-25
0.2	0	1478780345	30-Dec-25
0	0.5	1478780346	30-Dec-25
0	22	1478780347	30-Dec-25
1	0	1478780348	30-Dec-25
0	10.036	1478780349	30-Dec-25
4.12	0.05	1478780350	30-Dec-25
10000	0	1478780351	30-Dec-25
0	30	1478780353	30-Dec-25
0	1	1478780357	30-Dec-25
0	7	1478780358	30-Dec-25
0.5	0	1478780359	30-Dec-25
6.5	0	1478780360	30-Dec-25
0.5	0	1478780362	30-Dec-25
0	0.5	1478780363	30-Dec-25
0	0.23	1478780367	30-Dec-25
15	0	1478780368	30-Dec-25
0	1	1478780370	30-Dec-25
20	0	1478780371	30-Dec-25
0.02	401	1478780372	30-Dec-25
0.12	0	1478780373	30-Dec-25
0	0.2	1478780374	30-Dec-25
0.25	0	1478780376	30-Dec-25
10.12	0.05	1478780378	30-Dec-25
2	0	1478780381	30-Dec-25
0.02	4.1	1478780382	30-Dec-25
0	0.5	1478780387	30-Dec-25
0	0.8	1478780388	30-Dec-25
0	7	1478780405	30-Dec-25
0.02	15.125	1478780406	30-Dec-25
22	0	1478780407	30-Dec-25
0	0.25	1478780408	30-Dec-25
0.57	0.025	1478780411	30-Dec-25
0	0.6	1478780414	30-Dec-25
0	17.5	1478780415	30-Dec-25
0.02	6.1	1478780416	30-Dec-25
0.2	0	1478780417	30-Dec-25
0.2	0	1478780418	30-Dec-25
10.12	0.05	1478780419	30-Dec-25
0	0.7	1478780420	30-Dec-25
0	0.5	1478780421	30-Dec-25
0	3	1478780425	30-Dec-25
0	0.2	1478780427	30-Dec-25
0	1	1478780431	30-Dec-25
5	0	1478780437	30-Dec-25
0	60	1478780438	30-Dec-25
721	0	1478780439	30-Dec-25
8.12	0.05	1478780441	30-Dec-25
0.25	0	1478780442	30-Dec-25
0	0.3	1478780444	30-Dec-25
0.5	0	1478780446	30-Dec-25
0	50	1478780451	30-Dec-25
0.02	250.625	1478780452	30-Dec-25
0	0.2	1478780453	30-Dec-25
0	0.3	1478780455	30-Dec-25
0	1.5	1478780460	30-Dec-25
0	500	1478780462	30-Dec-25
2	0	1478780463	30-Dec-25
0.3	0	1478780465	30-Dec-25
0	2	1478780466	30-Dec-25
0	4	1478780467	30-Dec-25
0	0.6	1478780468	30-Dec-25
0	1.6	1478780469	30-Dec-25
0	1000	1478780470	30-Dec-25
0.02	2.1	1478780471	30-Dec-25
0	1.6	1478780472	30-Dec-25
0.67	0.025	1478780474	30-Dec-25
0	3	1478780476	30-Dec-25
0.2	0	1478780477	30-Dec-25
0	1	1478780478	30-Dec-25
0.25	0	1478780480	30-Dec-25
0.5	0	1478780481	30-Dec-25
0	6	1478780484	30-Dec-25
3.5	0	1478780485	30-Dec-25
1	0	1478780486	30-Dec-25
0	301.08	1478780490	30-Dec-25
2	0	1478780492	30-Dec-25
0	0.3	1478780495	30-Dec-25
1.2	0	1478780497	30-Dec-25
0.5	0	1478780498	30-Dec-25
0	1.5	1478780499	30-Dec-25
0	50	1478780500	30-Dec-25
0	53.5	1478780501	30-Dec-25
7	0	1478780504	30-Dec-25
3	0	1478780506	30-Dec-25
0	18	1478780507	30-Dec-25
20.145	0.0625	1478780509	30-Dec-25
1.4	0	1478780510	30-Dec-25
15.145	0.0625	1478780511	30-Dec-25
1.5	0	1478780513	30-Dec-25
0	200.72	1478780514	30-Dec-25
0	0.3	1478780517	30-Dec-25
0	0.5	1478780521	30-Dec-25
50.22	0.1	1478780523	30-Dec-25
1	0	1478780525	30-Dec-25
0	1.2	1478780526	30-Dec-25
10	0	1478780528	30-Dec-25
0.4	0	1478780533	30-Dec-25
0	0.3	1478780535	30-Dec-25
0.89	0	1478780536	30-Dec-25
0	3	1478780539	30-Dec-25
0	0.25	1478780541	30-Dec-25
0	0.44	1478780542	30-Dec-25
0	100.36	1478780543	30-Dec-25
0	2	1478780546	30-Dec-25
0	0.5	1478780551	30-Dec-25
0	5	1478780552	30-Dec-25
0	5	1478780553	30-Dec-25
0.42	0.025	1478780554	30-Dec-25
0	1.1	1478780556	30-Dec-25
1.5	0	1478780557	30-Dec-25
0	21	1478780558	30-Dec-25
0	75	1478780560	30-Dec-25
100	0	1478780562	30-Dec-25
0	0.3	1478780564	30-Dec-25
0	0.15	1478780565	30-Dec-25
0.32	0.025	1478780567	30-Dec-25
0	0.2	1478780569	30-Dec-25
0	339.024	1478780572	30-Dec-25
0	90	1478780573	30-Dec-25
0	0.3	1478780575	30-Dec-25
0	1	1478780577	30-Dec-25
1.5	0	1478780580	30-Dec-25
0.51	0	1478780586	30-Dec-25
0	1.1	1478780587	30-Dec-25
0	1	1478780588	30-Dec-25
0	0.1	1478780590	30-Dec-25
0	1.4	1478780593	30-Dec-25
100.27	0.125	1478780594	30-Dec-25
0.2	0	1478780595	30-Dec-25
3.2	0	1478780596	30-Dec-25
0	1	1478780597	30-Dec-25
0	10	1478780601	30-Dec-25
200	0	1478780602	30-Dec-25
0.02	0.55	1478780607	30-Dec-25
0.02	100.25	1478780611	30-Dec-25
2.12	0.05	1478780612	30-Dec-25
0	2	1478780613	30-Dec-25
0	0.5	1478780614	30-Dec-25
0	30.324	1478780618	30-Dec-25
0	50.54	1478780619	30-Dec-25
0	303.24	1478780620	30-Dec-25
0	101.08	1478780621	30-Dec-25
7.12	0.05	1478780623	30-Dec-25
0	0.3	1478780624	30-Dec-25
0	8.4	1478780626	30-Dec-25
1	0	1478780627	30-Dec-25
0.02	80.2	1478780628	30-Dec-25
0.1	0	1478780631	30-Dec-25
0	4	1478780632	30-Dec-25
0	0.25	1478780634	30-Dec-25
0.5	0	1478780635	30-Dec-25
0.5	0	1478780637	30-Dec-25
0	131.17	1478780638	30-Dec-25
0	17	1478780639	30-Dec-25
2	0	1478780643	30-Dec-25
1.4	0	1478780644	30-Dec-25
0.02	83.7087	1478780645	30-Dec-25
0	200	1478780646	30-Dec-25
0	363.888	1478780649	30-Dec-25
0	1	1478780650	30-Dec-25
0	10	1478780651	30-Dec-25
0.02	8.1	1478780655	30-Dec-25
2	0	1478780658	30-Dec-25
0.5	0	1478780659	30-Dec-25
0	0.12	1478780660	30-Dec-25
0	4.4	1478780662	30-Dec-25
0	0.2	1478780663	30-Dec-25
0	250.9	1478780666	30-Dec-25
0	1.2	1478780669	30-Dec-25
0	0.75	1478780671	30-Dec-25
0	2.8	1478780673	30-Dec-25
4.4	0	1478780674	30-Dec-25
0.5	0	1478780676	30-Dec-25
0	20.3238	1478780680	30-Dec-25
20.145	0.0625	1478780681	30-Dec-25
0.02	3.43	1478780682	30-Dec-25
3.62	0.05	1478780683	30-Dec-25
0	10	1478780684	30-Dec-25
0	0.7	1478780685	30-Dec-25
0.5	0	1478780687	30-Dec-25
0	3.5	1478780688	30-Dec-25
0	0.75	1478780690	30-Dec-25
0	20	1478780692	30-Dec-25
0	5	1478780695	30-Dec-25
0	1.35	1478780696	30-Dec-25
0	0.2	1478780698	30-Dec-25
0	1	1478780700	30-Dec-25
0	8	1478780702	30-Dec-25
0	5.2	1478780706	30-Dec-25
3	0	1478780707	30-Dec-25
0	0.5	1478780708	30-Dec-25
0	8.2	1478780709	30-Dec-25
0	2	1478780711	30-Dec-25
0.5	0	1478780713	30-Dec-25
0	20	1478780715	30-Dec-25
22	0	1478780719	30-Dec-25
0.3	0	1478780722	30-Dec-25
2	0	1478780723	30-Dec-25
1.5	0	1478780725	30-Dec-25
0.5	0	1478780728	30-Dec-25
0	1	1478780729	30-Dec-25
10.12	0.05	1478780731	30-Dec-25
0.6	0	1478780732	30-Dec-25
0.02	100.25	1478780733	30-Dec-25
1.23	0	1478780736	30-Dec-25
0	1.9	1478780741	30-Dec-25
0.5	0	1478780742	30-Dec-25
0.5	0	1478780744	30-Dec-25
1	0	1478780745	30-Dec-25
0	1	1478780747	30-Dec-25
0	100.18	1478780748	30-Dec-25
0.4	0	1478780749	30-Dec-25
0	0.25	1478780751	30-Dec-25
6	0	1478780752	30-Dec-25
5.12	0.05	1478780754	30-Dec-25
1.2	0	1478780757	30-Dec-25
0	0.3	1478780758	30-Dec-25
0	2.7	1478780759	30-Dec-25
0.25	0	1478780760	30-Dec-25
0	1.1	1478780761	30-Dec-25
0	200	1478780767	30-Dec-25
0	3.7	1478780768	30-Dec-25
0	1.1	1478780770	30-Dec-25
1	0	1478780774	30-Dec-25
0	50	1478780775	30-Dec-25
0	2	1478780776	30-Dec-25
0	50.135	1478780778	30-Dec-25
0	5	1478780779	30-Dec-25
0	1	1478780780	30-Dec-25
20.9	0.45	1478780782	30-Dec-25
0	0.5	1478780783	30-Dec-25
0	5	1478780784	30-Dec-25
0	0.5	1478780785	30-Dec-25
11	0	1478780786	30-Dec-25
0	0.3	1478780791	30-Dec-25
0	130	1478780792	30-Dec-25
0	0.1	1478780793	30-Dec-25
0	2.3	1478780794	30-Dec-25
0	0.7	1478780795	30-Dec-25
0	30	1478780801	30-Dec-25
2	0	1478780804	30-Dec-25
0.3	0	1478780805	30-Dec-25
0	10.05	1478780806	30-Dec-25
0	0.12	1478780807	30-Dec-25
0	250	1478780809	30-Dec-25
80	0	1478780810	30-Dec-25
0	0.3	1478780811	30-Dec-25
0.02	15.125	1478780812	30-Dec-25
0	0.75	1478780816	30-Dec-25
0.4	0	1478780819	30-Dec-25
0	6	1478780820	30-Dec-25
0	148.49	1478780826	30-Dec-25
1	0	1478780827	30-Dec-25
0	1.5	1478780828	30-Dec-25
115.751	0.1155	1478780832	30-Dec-25
0.3	0	1478780836	30-Dec-25
0	0.1	1478780837	30-Dec-25
0	0.3	1478780846	30-Dec-25
180	0	1478780850	30-Dec-25
100	0	1478780851	30-Dec-25
15.145	0.0625	1478780853	30-Dec-25
2	0	1478780856	30-Dec-25
0	1	1478780860	30-Dec-25
0.02	19.875	1478780863	30-Dec-25
8	0	1478780864	30-Dec-25
0	0.4	1478780865	30-Dec-25
0.02	2.1	1478780870	30-Dec-25
0	8.95	1478780871	30-Dec-25
0	2.4	1478780880	30-Dec-25
0	2	1478780881	30-Dec-25
0.37	0.025	1478780885	30-Dec-25
0	2.02	1478780889	30-Dec-25
0	0.5	1478780890	30-Dec-25
0	100.36	1478780892	30-Dec-25
0	11.2914	1478780896	30-Dec-25
0.6	0	1478780898	30-Dec-25
8	0	1478780899	30-Dec-25
0.8	0	1478780900	30-Dec-25
0.5	0	1478780902	30-Dec-25
0.02	100.25	1478780903	30-Dec-25
0	11	1478780904	30-Dec-25
0	0.7	1478780906	30-Dec-25
0	150	1478780907	30-Dec-25
0.5	0	1478780908	30-Dec-25
0	1	1478780914	30-Dec-25
0	0.3	1478780918	30-Dec-25
0	6	1478780921	30-Dec-25
0	2	1478780922	30-Dec-25
0	30	1478780923	30-Dec-25
0	165	1478780924	30-Dec-25
0	15	1478780927	30-Dec-25
0	13	1478780928	30-Dec-25
0	1	1478780929	30-Dec-25
162	0	1478780931	30-Dec-25
0.3	0	1478780935	30-Dec-25
0	1	1478780936	30-Dec-25
0.02	0.55	1478780939	30-Dec-25
0	100	1478780940	30-Dec-25
0	870	1478780941	30-Dec-25
0	6	1478780944	30-Dec-25
0.02	50.2	1478780945	30-Dec-25
0	50	1478780946	30-Dec-25
0.25	0	1478780950	30-Dec-25
0	0.5	1478780951	30-Dec-25
0	5	1478780953	30-Dec-25
0.2	0	1478780959	30-Dec-25
0	0.5	1478780960	30-Dec-25
0	24	1478780961	30-Dec-25
50.22	0.1	1478780962	30-Dec-25
9.12	0.05	1478780963	30-Dec-25
8.52	0.05	1478780964	30-Dec-25
0	5	1478780968	30-Dec-25
0.5	0	1478780969	30-Dec-25
0	35.0756	1478780970	30-Dec-25
0	0.5	1478780972	30-Dec-25
19	0	1478780975	30-Dec-25
0	100	1478780976	30-Dec-25
0	1	1478780978	30-Dec-25
0	8	1478780980	30-Dec-25
1	0	1478780981	30-Dec-25
0.02	7.1	1478780982	30-Dec-25
0	2	1478780983	30-Dec-25
0	0.4	1478780988	30-Dec-25
0	1	1478780989	30-Dec-25
0.3	0	1478780996	30-Dec-25
0.7	0	1478780997	30-Dec-25
0	1	1478780998	30-Dec-25
1.5	0	1478780999	30-Dec-25
0	3	1478781001	30-Dec-25
0	100.54	1478781002	30-Dec-25
0.5	0	1478781003	30-Dec-25
0	80	1478781005	30-Dec-25
0.7	0	1478781008	30-Dec-25
5	0	1478781013	30-Dec-25
0	0.8	1478781014	30-Dec-25
0	30.189	1478781017	30-Dec-25
0	0.1	1478781020	30-Dec-25
0	130	1478781022	30-Dec-25
13.145	0.0625	1478781023	30-Dec-25
0	0.6	1478781024	30-Dec-25
190	0	1478781026	30-Dec-25
0	0.7	1478781027	30-Dec-25
0	0.2	1478781030	30-Dec-25
0	1.5	1478781031	30-Dec-25
0	2	1478781032	30-Dec-25
0	0.2	1478781034	30-Dec-25
80.27	0.125	1478781036	30-Dec-25
0.2	0	1478781037	30-Dec-25
0.5	0	1478781038	30-Dec-25
0	0.3	1478781040	30-Dec-25
3.4	0	1478781044	30-Dec-25
0	0.3	1478781045	30-Dec-25
0.9	0	1478781046	30-Dec-25
0	0.1	1478781047	30-Dec-25
0	27	1478781048	30-Dec-25
0	10	1478781051	30-Dec-25
