BALANCE	REFNO	DATECREATED
-50.36	1527034607	23-Jun-26
-100.72	1527034611	23-Jun-26
-300.81	1527034614	23-Jun-26
-504.1	1527034630	23-Jun-26
-201.44	1527034633	23-Jun-26
-4	1527034639	23-Jun-26
-24.35	1527034641	23-Jun-26
-50.18	1527034644	23-Jun-26
-100.9	1527034649	23-Jun-26
-40.36	1527034652	23-Jun-26
-100.9	1527034653	23-Jun-26
-50.36	1527034689	23-Jun-26
-201.8	1527034690	23-Jun-26
-50.45	1527034694	23-Jun-26
-100.72	1527034696	23-Jun-26
-503.6	1527034699	23-Jun-26
-50.45	1527034700	23-Jun-26
-23.17	1527034701	23-Jun-26
-403.6	1527034703	23-Jun-26
-10.07	1527034711	23-Jun-26
-50.45	1527034725	23-Jun-26
-100.72	1527034728	23-Jun-26
-10.07	1527034739	23-Jun-26
-250.9	1527034744	23-Jun-26
-50.45	1527034749	23-Jun-26
-151.35	1527034750	23-Jun-26
-174.03	1527034754	23-Jun-26
-12.04	1527034766	23-Jun-26
-15.05	1527034770	23-Jun-26
-95.34	1527034778	23-Jun-26
-50.36	1527034779	23-Jun-26
-89.22	1527034785	23-Jun-26
-201.8	1527034788	23-Jun-26
-201.8	1527034789	23-Jun-26
-52.47	1527034790	23-Jun-26
-10.07	1527034791	23-Jun-26
-100.36	1527034811	23-Jun-26
-20.14	1527034819	23-Jun-26
-201.8	1527034831	23-Jun-26
-302.7	1527034832	23-Jun-26
-40.36	1527034835	23-Jun-26
-20.18	1527034836	23-Jun-26
-505.4	1527034850	23-Jun-26
-50.54	1527034854	23-Jun-26
-200.72	1527034863	23-Jun-26
-100.72	1527034865	23-Jun-26
-10	1527034871	23-Jun-26
-100.9	1527034880	23-Jun-26
-100.72	1527034884	23-Jun-26
-50.45	1527034887	23-Jun-26
-100.9	1527034890	23-Jun-26
-50.36	1527034891	23-Jun-26
-40.36	1527034893	23-Jun-26
-100.36	1527034896	23-Jun-26
-100.36	1527034897	23-Jun-26
-50.36	1527034914	23-Jun-26
-503.6	1527034916	23-Jun-26
-50.36	1527034920	23-Jun-26
-136.22	1527034922	23-Jun-26
-100.72	1527034923	23-Jun-26
-20	1527034925	23-Jun-26
-501.8	1527034926	23-Jun-26
-201.8	1527034928	23-Jun-26
-100.9	1527034935	23-Jun-26
-23.2	1527034941	23-Jun-26
-201.44	1527034947	23-Jun-26
-50.36	1527034957	23-Jun-26
-15.15	1527034971	23-Jun-26
-10.07	1527034973	23-Jun-26
-100.9	1527034974	23-Jun-26
-100.72	1527034975	23-Jun-26
-57.92	1527034990	23-Jun-26
-50.36	1527034992	23-Jun-26
-70.76	1527034994	23-Jun-26
-20	1527034995	23-Jun-26
-501.8	1527034998	23-Jun-26
-100.72	1527035007	23-Jun-26
-504.5	1527035010	23-Jun-26
-50.54	1527035011	23-Jun-26
-50.54	1527035012	23-Jun-26
-50.54	1527035013	23-Jun-26
-121.04	1527035014	23-Jun-26
-302.7	1527035015	23-Jun-26
-50.36	1527035017	23-Jun-26
-50.18	1527035020	23-Jun-26
-303.24	1527035023	23-Jun-26
-100.9	1527035026	23-Jun-26
-150.54	1527035027	23-Jun-26
-658.28	1527035031	23-Jun-26
-201.44	1527035044	23-Jun-26
-10.07	1527035046	23-Jun-26
-402.88	1527035050	23-Jun-26
-50.45	1527035052	23-Jun-26
-147.36	1527035053	23-Jun-26
-30.31	1527035054	23-Jun-26
-151.08	1527035056	23-Jun-26
-30.31	1527035059	23-Jun-26
-50.36	1527035064	23-Jun-26
-250.9	1527035069	23-Jun-26
-100.72	1527035074	23-Jun-26
-503.6	1527035076	23-Jun-26
-302.7	1527035077	23-Jun-26
-504.5	1527035080	23-Jun-26
-201.44	1527035081	23-Jun-26
-100.72	1527035082	23-Jun-26
-25.49	1527035083	23-Jun-26
-100.72	1527035085	23-Jun-26
-302.16	1527035105	23-Jun-26
-201.44	1527035109	23-Jun-26
-503.6	1527035110	23-Jun-26
-201.44	1527035126	23-Jun-26
-202.16	1527035127	23-Jun-26
-50.45	1527035128	23-Jun-26
100.5	1527035129	23-Jun-26
-101.08	1527035130	23-Jun-26
-100.9	1527035132	23-Jun-26
-505.4	1527035133	23-Jun-26
-201.8	1527035134	23-Jun-26
-60.54	1527035140	23-Jun-26
-100	1527035148	23-Jun-26
-50.36	1527035150	23-Jun-26
-50.36	1527035151	23-Jun-26
-20.14	1527035153	23-Jun-26
-20.07	1527035154	23-Jun-26
-10.04	1527035158	23-Jun-26
-50.36	1527035160	23-Jun-26
-100.72	1527035165	23-Jun-26
-251.8	1527035166	23-Jun-26
-50.45	1527035168	23-Jun-26
-201.8	1527035170	23-Jun-26
-201.8	1527035173	23-Jun-26
-50.36	1527035174	23-Jun-26
-50.36	1527035176	23-Jun-26
-151.08	1527035178	23-Jun-26
-80.29	1527035182	23-Jun-26
-100.9	1527035190	23-Jun-26
-20.14	1527035195	23-Jun-26
-50.36	1527035197	23-Jun-26
-100.72	1527035200	23-Jun-26
-20.07	1527035203	23-Jun-26
-303.24	1527035206	23-Jun-26
-201.44	1527035214	23-Jun-26
-201.8	1527035217	23-Jun-26
-30.31	1527035220	23-Jun-26
-453.24	1527035222	23-Jun-26
-13.16	1527035224	23-Jun-26
-504.5	1527035231	23-Jun-26
-50.54	1527035232	23-Jun-26
-70.5	1527035234	23-Jun-26
-201.8	1527035235	23-Jun-26
-50.18	1527035237	23-Jun-26
-30.11	1527035238	23-Jun-26
-30.22	1527035241	23-Jun-26
-50.14	1527035243	23-Jun-26
-50.54	1527035246	23-Jun-26
-50.18	1527035257	23-Jun-26
-100.9	1527035261	23-Jun-26
-200	1527035265	23-Jun-26
-50.45	1527035267	23-Jun-26
-100.9	1527035268	23-Jun-26
-50.45	1527035269	23-Jun-26
-151.08	1527035277	23-Jun-26
-15.11	1527035278	23-Jun-26
-10.07	1527035281	23-Jun-26
19.45	1527035285	23-Jun-26
-20.14	1527035290	23-Jun-26
-100.72	1527035292	23-Jun-26
-201.8	1527035298	23-Jun-26
-252.25	1527035299	23-Jun-26
-50.45	1527035300	23-Jun-26
-60.54	1527035301	23-Jun-26
-100.9	1527035302	23-Jun-26
-151.62	1527035306	23-Jun-26
-100.36	1527035308	23-Jun-26
-50.18	1527035309	23-Jun-26
-50.36	1527035311	23-Jun-26
-100.72	1527035312	23-Jun-26
-100.72	1527035317	23-Jun-26
-50.36	1527035318	23-Jun-26
-100.9	1527035320	23-Jun-26
-47.9	1527035325	23-Jun-26
-202.16	1527035327	23-Jun-26
-100.72	1527035344	23-Jun-26
-26.68	1527035345	23-Jun-26
-100.9	1527035350	23-Jun-26
-100.9	1527035356	23-Jun-26
-100.9	1527035358	23-Jun-26
-151.35	1527035359	23-Jun-26
-80.58	1527035362	23-Jun-26
-30.22	1527035366	23-Jun-26
-25.18	1527035370	23-Jun-26
-176.58	1527035371	23-Jun-26
-302.16	1527035378	23-Jun-26
-20.14	1527035380	23-Jun-26
-120.86	1527035384	23-Jun-26
-100.72	1527035388	23-Jun-26
-197.41	1527035389	23-Jun-26
-50.36	1527035394	23-Jun-26
-25.18	1527035398	23-Jun-26
-40.38	1527035399	23-Jun-26
-120.86	1527035408	23-Jun-26
-151.35	1527035411	23-Jun-26
-25.23	1527035416	23-Jun-26
-30.27	1527035417	23-Jun-26
-200	1527035421	23-Jun-26
-50.36	1527035425	23-Jun-26
-201.8	1527035428	23-Jun-26
-151.08	1527035431	23-Jun-26
-50	1527035441	23-Jun-26
-100.72	1527035442	23-Jun-26
-50.45	1527035445	23-Jun-26
-113.36	1527035446	23-Jun-26
-15.05	1527035447	23-Jun-26
-201.8	1527035448	23-Jun-26
-50.45	1527035449	23-Jun-26
-100.9	1527035451	23-Jun-26
-15.16	1527035453	23-Jun-26
-50.18	1527035457	23-Jun-26
-50.36	1527035458	23-Jun-26
50.45	1527035463	23-Jun-26
-1003.6	1527035471	23-Jun-26
-100.36	1527035474	23-Jun-26
-120.86	1527035476	23-Jun-26
-1008.82	1527035477	23-Jun-26
-503.6	1527035481	23-Jun-26
-151.35	1527035482	23-Jun-26
-60.54	1527035483	23-Jun-26
-201.44	1527035495	23-Jun-26
-3.02	1527035497	23-Jun-26
-6	1527035498	23-Jun-26
-50.36	1527035504	23-Jun-26
-201.44	1527035505	23-Jun-26
-100.9	1527035508	23-Jun-26
-100.9	1527035514	23-Jun-26
-151.62	1527035515	23-Jun-26
-20.14	1527035519	23-Jun-26
-201.44	1527035520	23-Jun-26
-20.07	1527035521	23-Jun-26
-100.72	1527035525	23-Jun-26
-100.9	1527035550	23-Jun-26
-403.6	1527035551	23-Jun-26
-1007.2	1527035557	23-Jun-26
-50.45	1527035559	23-Jun-26
-10.07	1527035563	23-Jun-26
-50.45	1527035566	23-Jun-26
-30.27	1527035567	23-Jun-26
-65.82	1527035572	23-Jun-26
-503.6	1527035573	23-Jun-26
-302.7	1527035577	23-Jun-26
-100.72	1527035578	23-Jun-26
-100.72	1527035579	23-Jun-26
-202.16	1527035583	23-Jun-26
-65.14	1527035590	23-Jun-26
-100.9	1527035595	23-Jun-26
-20.22	1527035602	23-Jun-26
-100.54	1527035605	23-Jun-26
-201.44	1527035611	23-Jun-26
-402.88	1527035622	23-Jun-26
-402.88	1527035624	23-Jun-26
-5.04	1527035625	23-Jun-26
-251.8	1527035626	23-Jun-26
-302.16	1527035631	23-Jun-26
-100.54	1527035646	23-Jun-26
-100.36	1527035647	23-Jun-26
-101.23	1527035654	23-Jun-26
-50.36	1527035674	23-Jun-26
-30.22	1527035678	23-Jun-26
-302.16	1527035679	23-Jun-26
-120.43	1527035687	23-Jun-26
-503.6	1527035690	23-Jun-26
-151.08	1527035691	23-Jun-26
-100.72	1527035694	23-Jun-26
-201.44	1527035695	23-Jun-26
-75.81	1527035696	23-Jun-26
-10	1527035698	23-Jun-26
-302.7	1527035699	23-Jun-26
-151.35	1527035703	23-Jun-26
-60.54	1527035704	23-Jun-26
-100.9	1527035706	23-Jun-26
-10.04	1527035711	23-Jun-26
-30.22	1527035712	23-Jun-26
-504.5	1527035724	23-Jun-26
-100.72	1527035730	23-Jun-26
-20.14	1527035734	23-Jun-26
-200.72	1527035737	23-Jun-26
-1007.2	1527035738	23-Jun-26
-54.17	1527035739	23-Jun-26
-20.14	1527035740	23-Jun-26
-1007.2	1527035742	23-Jun-26
-50.45	1527035746	23-Jun-26
-50.45	1527035747	23-Jun-26
-100.9	1527035751	23-Jun-26
-807.2	1527035752	23-Jun-26
-201.44	1527035755	23-Jun-26
-20.14	1527035757	23-Jun-26
10.45	1527035761	23-Jun-26
-1007.2	1527035762	23-Jun-26
-50.45	1527035765	23-Jun-26
-50.36	1527035766	23-Jun-26
-50.36	1527035769	23-Jun-26
201	1527035772	23-Jun-26
-100.9	1527035776	23-Jun-26
-200.72	1527035783	23-Jun-26
-201.8	1527035784	23-Jun-26
-30.22	1527035789	23-Jun-26
-201.44	1527035790	23-Jun-26
-151.35	1527035791	23-Jun-26
-504.5	1527035794	23-Jun-26
-504.5	1527035796	23-Jun-26
-50.54	1527035797	23-Jun-26
-30.31	1527035798	23-Jun-26
-504.5	1527035800	23-Jun-26
-100.72	1527035801	23-Jun-26
-50.54	1527035808	23-Jun-26
-101.08	1527035809	23-Jun-26
-40.29	1527035811	23-Jun-26
-292.09	1527035820	23-Jun-26
-30.11	1527035821	23-Jun-26
-100.72	1527035825	23-Jun-26
-100.72	1527035828	23-Jun-26
-302.7	1527035829	23-Jun-26
-100.72	1527035835	23-Jun-26
-40.29	1527035837	23-Jun-26
-20.14	1527035839	23-Jun-26
-503.6	1527035842	23-Jun-26
-50.36	1527035843	23-Jun-26
-282.02	1527035844	23-Jun-26
-50.45	1527035848	23-Jun-26
-100.9	1527035851	23-Jun-26
-20	1527035856	23-Jun-26
-10.07	1527035860	23-Jun-26
-504.5	1527035869	23-Jun-26
-151.35	1527035870	23-Jun-26
-50.45	1527035871	23-Jun-26
-151.35	1527035874	23-Jun-26
-252.25	1527035875	23-Jun-26
-100.9	1527035876	23-Jun-26
-100.9	1527035877	23-Jun-26
-50.45	1527035878	23-Jun-26
-100.9	1527035879	23-Jun-26
-50.45	1527035880	23-Jun-26
-100.9	1527035881	23-Jun-26
-100.9	1527035882	23-Jun-26
-10.26	1527035887	23-Jun-26
-50.36	1527035892	23-Jun-26
-201.44	1527035894	23-Jun-26
-151.62	1527035900	23-Jun-26
-100.72	1527035902	23-Jun-26
-201.44	1527035913	23-Jun-26
-100.9	1527035914	23-Jun-26
-30.22	1527035915	23-Jun-26
-151.08	1527035916	23-Jun-26
-302.16	1527035917	23-Jun-26
-20.14	1527035918	23-Jun-26
-110.79	1527035919	23-Jun-26
-503.6	1527035921	23-Jun-26
-302.7	1527035924	23-Jun-26
-100.9	1527035925	23-Jun-26
-423.02	1527035927	23-Jun-26
-20.14	1527035932	23-Jun-26
-10.26	1527035933	23-Jun-26
-100.72	1527035936	23-Jun-26
-151.08	1527035937	23-Jun-26
-50.36	1527035941	23-Jun-26
-30.78	1527035942	23-Jun-26
-50.36	1527035943	23-Jun-26
-100.9	1527035950	23-Jun-26
-151.08	1527035951	23-Jun-26
-104.38	1527035952	23-Jun-26
-7	1527035958	23-Jun-26
-70	1527035960	23-Jun-26
-151.35	1527035962	23-Jun-26
-353.15	1527035963	23-Jun-26
-503.6	1527035966	23-Jun-26
-201.8	1527035967	23-Jun-26
-554.95	1527035968	23-Jun-26
-15.04	1527035975	23-Jun-26
-250.68	1527035976	23-Jun-26
-201.8	1527035978	23-Jun-26
-503.6	1527035979	23-Jun-26
-300.81	1527035980	23-Jun-26
-501.35	1527035982	23-Jun-26
-503.6	1527035985	23-Jun-26
-15.73	1527035986	23-Jun-26
-1007.2	1527035994	23-Jun-26
-352.84	1527035996	23-Jun-26
-201.8	1527036002	23-Jun-26
-50.18	1527036004	23-Jun-26
-302.7	1527036005	23-Jun-26
-20.14	1527036007	23-Jun-26
-100.72	1527036010	23-Jun-26
-454.05	1527036011	23-Jun-26
-10.07	1527036017	23-Jun-26
-30.22	1527036026	23-Jun-26
-201.44	1527036027	23-Jun-26
-503.6	1527036030	23-Jun-26
-503.6	1527036031	23-Jun-26
-251.8	1527036033	23-Jun-26
20.15	1527036042	23-Jun-26
-605.4	1527036044	23-Jun-26
-50.36	1527036046	23-Jun-26
-302.16	1527036058	23-Jun-26
-2.01	1527036061	23-Jun-26
-50.36	1527036063	23-Jun-26
-50.36	1527036064	23-Jun-26
-101.08	1527036065	23-Jun-26
-40.29	1527036068	23-Jun-26
-262.34	1527036074	23-Jun-26
-503.6	1527036082	23-Jun-26
-401.44	1527036086	23-Jun-26
40.45	1527036088	23-Jun-26
-705.04	1527036090	23-Jun-26
-20	1527036092	23-Jun-26
-100.9	1527036095	23-Jun-26
-100.9	1527036096	23-Jun-26
-100.9	1527036098	23-Jun-26
-80.29	1527036103	23-Jun-26
-401.44	1527036105	23-Jun-26
-503.6	1527036110	23-Jun-26
-100.9	1527036116	23-Jun-26
-100.36	1527036128	23-Jun-26
-100.36	1527036129	23-Jun-26
-130.94	1527036132	23-Jun-26
-10.09	1527036133	23-Jun-26
-20.18	1527036135	23-Jun-26
-20.18	1527036136	23-Jun-26
-302.16	1527036137	23-Jun-26
-20.78	1527036138	23-Jun-26
-504.5	1527036139	23-Jun-26
-110.79	1527036144	23-Jun-26
-201.44	1527036146	23-Jun-26
-6.04	1527036147	23-Jun-26
-50.36	1527036151	23-Jun-26
-201.8	1527036152	23-Jun-26
-201.8	1527036153	23-Jun-26
-50.36	1527036154	23-Jun-26
-100.72	1527036157	23-Jun-26
-251.8	1527036174	23-Jun-26
-30.22	1527036176	23-Jun-26
-201.44	1527036188	23-Jun-26
-100.9	1527036201	23-Jun-26
-141.01	1527036208	23-Jun-26
-201.8	1527036211	23-Jun-26
-252.7	1527036213	23-Jun-26
-100.9	1527036214	23-Jun-26
-303.24	1527036215	23-Jun-26
-121.22	1527036218	23-Jun-26
-50.45	1527036223	23-Jun-26
-201.44	1527036233	23-Jun-26
-232.07	1527036238	23-Jun-26
-100.9	1527036246	23-Jun-26
-101.08	1527036255	23-Jun-26
-356.28	1527036257	23-Jun-26
-503.6	1527036260	23-Jun-26
-100.9	1527036269	23-Jun-26
-70.59	1527036270	23-Jun-26
-50.45	1527036271	23-Jun-26
-30.22	1527036272	23-Jun-26
-504.5	1527036275	23-Jun-26
-100.72	1527036276	23-Jun-26
-50.36	1527036280	23-Jun-26
-211.51	1527036287	23-Jun-26
50.45	1527036288	23-Jun-26
-201.44	1527036291	23-Jun-26
-100.9	1527036292	23-Jun-26
-15.04	1527036296	23-Jun-26
-352.52	1527036297	23-Jun-26
-201.44	1527036298	23-Jun-26
-101.08	1527036299	23-Jun-26
-100.72	1527036300	23-Jun-26
-100.72	1527036306	23-Jun-26
-50.45	1527036307	23-Jun-26
-201.44	1527036309	23-Jun-26
-20	1527036310	23-Jun-26
-503.6	1527036311	23-Jun-26
-50.36	1527036312	23-Jun-26
-100.9	1527036313	23-Jun-26
-50.36	1527036319	23-Jun-26
-100.72	1527036320	23-Jun-26
-10.07	1527036321	23-Jun-26
-61.87	1527036325	23-Jun-26
-100.9	1527036328	23-Jun-26
-777.96	1527036342	23-Jun-26
-262.34	1527036343	23-Jun-26
-50.14	1527036353	23-Jun-26
-272.43	1527036356	23-Jun-26
-302.7	1527036357	23-Jun-26
-68.4	1527036358	23-Jun-26
-201.8	1527036361	23-Jun-26
-100.9	1527036362	23-Jun-26
-100.72	1527036364	23-Jun-26
-50.45	1527036365	23-Jun-26
-50.54	1527036368	23-Jun-26
-251.8	1527036381	23-Jun-26
-3.02	1527036386	23-Jun-26
-50.36	1527036392	23-Jun-26
-151.35	1527036393	23-Jun-26
-201.44	1527036408	23-Jun-26
-30.06	1527036409	23-Jun-26
-100.72	1527036413	23-Jun-26
-20.14	1527036419	23-Jun-26
-50.36	1527036425	23-Jun-26
-100.72	1527036427	23-Jun-26
-100.72	1527036429	23-Jun-26
-100.9	1527036439	23-Jun-26
-301.08	1527036452	23-Jun-26
-50.36	1527036455	23-Jun-26
-50.36	1527036457	23-Jun-26
-151.35	1527036464	23-Jun-26
-151.22	1527036469	23-Jun-26
-50.45	1527036473	23-Jun-26
-402.88	1527036476	23-Jun-26
-201.8	1527036486	23-Jun-26
-130.94	1527036487	23-Jun-26
-20.14	1527036497	23-Jun-26
-20.18	1527036503	23-Jun-26
-50.36	1527036512	23-Jun-26
-201.44	1527036520	23-Jun-26
-70.25	1527036523	23-Jun-26
-151.22	1527036525	23-Jun-26
-101.08	1527036529	23-Jun-26
-503.42	1527036533	23-Jun-26
-503.42	1527036537	23-Jun-26
-10.07	1527036544	23-Jun-26
-13.09	1527036551	23-Jun-26
-60.61	1527036552	23-Jun-26
-1007.2	1527036554	23-Jun-26
-50.36	1527036561	23-Jun-26
-100.72	1527036572	23-Jun-26
-303.13	1527036578	23-Jun-26
-30.22	1527036583	23-Jun-26
-251.8	1527036585	23-Jun-26
-50.45	1527036586	23-Jun-26
-50.54	1527036587	23-Jun-26
-161.44	1527036588	23-Jun-26
-10.11	1527036589	23-Jun-26
-501.35	1527036590	23-Jun-26
-94.91	1527036591	23-Jun-26
-300	1527036592	23-Jun-26
-100.9	1527036617	23-Jun-26
-100.72	1527036623	23-Jun-26
-10.26	1527036626	23-Jun-26
-100.9	1527036629	23-Jun-26
-100.9	1527036631	23-Jun-26
-90.74	1527036633	23-Jun-26
-40.29	1527036634	23-Jun-26
59.45	1527036635	23-Jun-26
-10.07	1527036640	23-Jun-26
-15.11	1527036642	23-Jun-26
-100.72	1527036649	23-Jun-26
-50.45	1527036655	23-Jun-26
-201.8	1527036662	23-Jun-26
-252.25	1527036666	23-Jun-26
-10.07	1527036670	23-Jun-26
115.58	1527036673	23-Jun-26
-100.9	1527036674	23-Jun-26
-217.55	1527036677	23-Jun-26
-504.5	1527036691	23-Jun-26
-403.6	1527036692	23-Jun-26
-503.6	1527036710	23-Jun-26
-906.48	1527036711	23-Jun-26
-50.45	1527036721	23-Jun-26
-1007.2	1527036724	23-Jun-26
-231.66	1527036732	23-Jun-26
-302.16	1527036737	23-Jun-26
-224.38	1527036738	23-Jun-26
-50.36	1527036741	23-Jun-26
-60.54	1527036745	23-Jun-26
-50.36	1527036754	23-Jun-26
-201.44	1527036755	23-Jun-26
-65.59	1527036772	23-Jun-26
-30.22	1527036776	23-Jun-26
-100.72	1527036780	23-Jun-26
-503.6	1527036781	23-Jun-26
-120.86	1527036786	23-Jun-26
-100.72	1527036799	23-Jun-26
-100.72	1527036806	23-Jun-26
-100.72	1527036810	23-Jun-26
-202.16	1527036811	23-Jun-26
-201.44	1527036812	23-Jun-26
-251.8	1527036819	23-Jun-26
-101.08	1527036824	23-Jun-26
-30.22	1527036825	23-Jun-26
-12.75	1527036828	23-Jun-26
-403.6	1527036829	23-Jun-26
-130.94	1527036834	23-Jun-26
-15.29	1527036836	23-Jun-26
-151.62	1527036840	23-Jun-26
-80.58	1527036841	23-Jun-26
-50.36	1527036844	23-Jun-26
-503.6	1527036849	23-Jun-26
-454.05	1527036851	23-Jun-26
-40.09	1527036852	23-Jun-26
-100.9	1527036854	23-Jun-26
-1007.2	1527036855	23-Jun-26
-10.07	1527036859	23-Jun-26
-30.22	1527036861	23-Jun-26
-151.08	1527036863	23-Jun-26
-101.08	1527036874	23-Jun-26
-202.16	1527036881	23-Jun-26
-201.44	1527036892	23-Jun-26
-60.43	1527036897	23-Jun-26
-151.62	1527036906	23-Jun-26
-100.9	1527036907	23-Jun-26
-100.36	1527036917	23-Jun-26
-50.36	1527036926	23-Jun-26
-100.36	1527036942	23-Jun-26
-100.72	1527036943	23-Jun-26
-30.22	1527036948	23-Jun-26
-453.24	1527036950	23-Jun-26
-40.29	1527036951	23-Jun-26
-503.6	1527036956	23-Jun-26
-201.44	1527036957	23-Jun-26
-251.8	1527036958	23-Jun-26
-20.14	1527036963	23-Jun-26
-402.88	1527036969	23-Jun-26
-30.22	1527036974	23-Jun-26
-20.14	1527036999	23-Jun-26
-13.69	1527037000	23-Jun-26
-101.08	1527037004	23-Jun-26
-101.08	1527037006	23-Jun-26
-151.08	1527037007	23-Jun-26
-94	1527037019	23-Jun-26
-253.17	1527037029	23-Jun-26
-100.72	1527037036	23-Jun-26
-100	1527037048	23-Jun-26
-201.44	1527037070	23-Jun-26
-50.36	1527037092	23-Jun-26
-20.14	1527037116	23-Jun-26
-25.18	1527037117	23-Jun-26
-20.14	1527037125	23-Jun-26
-100	1527037128	23-Jun-26
-201.8	1527037136	23-Jun-26
-30.22	1527037143	23-Jun-26
-50.36	1527037144	23-Jun-26
-100.72	1527037155	23-Jun-26
-101.08	1527037165	23-Jun-26
-100.36	1527037167	23-Jun-26
-151.08	1527037175	23-Jun-26
-503.6	1527037183	23-Jun-26
-50.36	1527037184	23-Jun-26
-1007.2	1527037204	23-Jun-26
100.5	1527037205	23-Jun-26
-101.08	1527037208	23-Jun-26
-151.62	1527037209	23-Jun-26
-50.54	1527037215	23-Jun-26
-50.18	1527037220	23-Jun-26
-40.79	1527037232	23-Jun-26
-2.52	1527037236	23-Jun-26
-25.09	1527037239	23-Jun-26
-30.22	1527037240	23-Jun-26
-302.7	1527037261	23-Jun-26
-50.45	1527037262	23-Jun-26
-50.45	1527037263	23-Jun-26
-5	1527037264	23-Jun-26
-50.36	1527037272	23-Jun-26
-100.72	1527037281	23-Jun-26
-100.9	1527037285	23-Jun-26
-25.18	1527037289	23-Jun-26
-50.45	1527037298	23-Jun-26
-201.8	1527037299	23-Jun-26
-25.18	1527037323	23-Jun-26
-12.04	1527037331	23-Jun-26
-32.56	1527037332	23-Jun-26
-3.02	1527037333	23-Jun-26
-201.8	1527037354	23-Jun-26
-302.7	1527037355	23-Jun-26
-302.7	1527037356	23-Jun-26
-30.27	1527037362	23-Jun-26
-20.18	1527037363	23-Jun-26
-50.36	1527037371	23-Jun-26
-6.02	1527037395	23-Jun-26
-101.08	1527037408	23-Jun-26
-100.9	1527037412	23-Jun-26
-65.7	1527037422	23-Jun-26
-50.36	1527037446	23-Jun-26
-100.72	1527037459	23-Jun-26
-50.45	1527037460	23-Jun-26
-40.29	1527037501	23-Jun-26
-50.45	1527037508	23-Jun-26
-100	1527037523	23-Jun-26
-201.44	1527037524	23-Jun-26
-100.9	1527037534	23-Jun-26
-10.04	1527037535	23-Jun-26
-15.11	1527037555	23-Jun-26
-14.1	1527037561	23-Jun-26
-50.36	1527037577	23-Jun-26
-50.45	1527037580	23-Jun-26
-402.88	1527037585	23-Jun-26
-40.29	1527037586	23-Jun-26
-403.6	1527037593	23-Jun-26
-100.72	1527037623	23-Jun-26
203	1527037653	23-Jun-26
-50.64	1527037669	23-Jun-26
-100.72	1527037675	23-Jun-26
-400	1527037684	23-Jun-26
-27.84	1527037687	23-Jun-26
-201.8	1527037690	23-Jun-26
-201.8	1527037691	23-Jun-26
-151.35	1527037692	23-Jun-26
-3.01	1527037696	23-Jun-26
-40.29	1527037718	23-Jun-26
-25.23	1527037719	23-Jun-26
-20.18	1527037721	23-Jun-26
-100.36	1527037747	23-Jun-26
-100.72	1527037778	23-Jun-26
-100.72	1527037781	23-Jun-26
-100.9	1527037790	23-Jun-26
-300	1527037797	23-Jun-26
-107.02	1527037800	23-Jun-26
-201.44	1527037803	23-Jun-26
-100.9	1527037807	23-Jun-26
-50.36	1527037814	23-Jun-26
-40.29	1527037817	23-Jun-26
-201.44	1527037829	23-Jun-26
-100.9	1527037835	23-Jun-26
-60.54	1527037847	23-Jun-26
-25.23	1527037848	23-Jun-26
-20.18	1527037849	23-Jun-26
-302.7	1527037850	23-Jun-26
-352.52	1527037854	23-Jun-26
-201.44	1527037855	23-Jun-26
-1007.2	1527037857	23-Jun-26
-10.07	1527037864	23-Jun-26
-500	1527037866	23-Jun-26
-100	1527037867	23-Jun-26
-50.36	1527037869	23-Jun-26
-20.18	1527037876	23-Jun-26
-100.72	1527037889	23-Jun-26
24.45	1527037890	23-Jun-26
-10.07	1527037892	23-Jun-26
-20.14	1527037893	23-Jun-26
-100.72	1527037894	23-Jun-26
-101.08	1527037898	23-Jun-26
-50.36	1527037899	23-Jun-26
-60.54	1527037900	23-Jun-26
-10.07	1527037906	23-Jun-26
-402.88	1527037909	23-Jun-26
25.45	1527037914	23-Jun-26
-10.07	1527037948	23-Jun-26
-50.54	1527037953	23-Jun-26
-10.07	1527037954	23-Jun-26
-100.36	1527037971	23-Jun-26
-100.72	1527037974	23-Jun-26
-1005.4	1527037982	23-Jun-26
-201.44	1527037988	23-Jun-26
-151.08	1527037990	23-Jun-26
-100.72	1527037994	23-Jun-26
-60.43	1527037995	23-Jun-26
-50.45	1527038011	23-Jun-26
-50.45	1527038013	23-Jun-26
-100.9	1527038019	23-Jun-26
-201.8	1527038021	23-Jun-26
-600	1527038055	23-Jun-26
-100	1527038058	23-Jun-26
-100.9	1527038072	23-Jun-26
-10.07	1527038077	23-Jun-26
-201.8	1527038118	23-Jun-26
-252.25	1527038119	23-Jun-26
-100.9	1527038120	23-Jun-26
-1007.2	1527038125	23-Jun-26
-110.89	1527038144	23-Jun-26
-10.04	1527038161	23-Jun-26
-100.72	1527038162	23-Jun-26
-50.36	1527038209	23-Jun-26
-15.11	1527038216	23-Jun-26
-503.6	1527038220	23-Jun-26
-151.08	1527038221	23-Jun-26
-50.36	1527038233	23-Jun-26
-1007.2	1527038260	23-Jun-26
-50.45	1527038261	23-Jun-26
-1007.2	1527038266	23-Jun-26
-906.48	1527038273	23-Jun-26
-218.93	1527038282	23-Jun-26
-202.16	1527038291	23-Jun-26
-101.08	1527038292	23-Jun-26
-201.44	1527038320	23-Jun-26
-5.04	1527038339	23-Jun-26
-30.22	1527038341	23-Jun-26
